region_en,score,tier,unemployment_rate,labor_force_participation,economic_activity_index,source_note,as_of_date
Riyadh,92,leading,4.1,68.3,81.2,Composite development score (test data),2026-03-20
Makkah,88,advanced,5.0,66.1,78.4,Composite development score (test data),2026-03-20
Al Madinah,79,advanced,5.6,63.8,72.5,Composite development score (test data),2026-03-20
Al Qassim,74,moderate,6.1,61.5,69.8,Composite development score (test data),2026-03-20
Eastern Region,90,leading,4.3,67.9,80.5,Composite development score (test data),2026-03-20
Asir,70,moderate,6.8,59.7,66.2,Composite development score (test data),2026-03-20
Tabuk,68,moderate,7.2,58.9,64.7,Composite development score (test data),2026-03-20
Hail,61,lagging,8.0,55.3,60.2,Composite development score (test data),2026-03-20
Northern Borders,58,lagging,8.6,54.1,58.8,Composite development score (test data),2026-03-20
Jazan,63,lagging,7.7,56.4,61.0,Composite development score (test data),2026-03-20
Najran,60,lagging,8.1,55.0,59.4,Composite development score (test data),2026-03-20
Al Bahah,57,lagging,8.9,53.6,57.9,Composite development score (test data),2026-03-20
Al Jouf,64,moderate,7.5,57.1,62.4,Composite development score (test data),2026-03-20
